<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	DATE
SBER	D	20200312	0	185.1700000	187.8700000	173.1400000	175.9100000	197162330	2020-03-12
SBER	D	20200313	0	175.0000000	199.5200000	174.3000000	198.6000000	262618120	2020-03-13
SBER	D	20200316	0	194.0000000	196.7000000	186.0000000	195.8500000	173656160	2020-03-16
SBER	D	20200317	0	194.9200000	204.7800000	183.8000000	184.0100000	183602360	2020-03-17
SBER	D	20200318	0	178.9500000	182.2000000	172.1500000	174.2700000	154736970	2020-03-18
SBER	D	20200319	0	178.5000000	190.1500000	173.0600000	189.5100000	187222370	2020-03-19
SBER	D	20200320	0	198.6200000	201.8600000	192.0500000	195.6900000	170124950	2020-03-20
SBER	D	20200323	0	188.0000000	190.9900000	182.1000000	183.3700000	157690770	2020-03-23
SBER	D	20200324	0	193.3000000	195.0000000	189.1000000	192.6400000	104281150	2020-03-24
SBER	D	20200325	0	196.3700000	201.0000000	182.3200000	188.0800000	187724830	2020-03-25
SBER	D	20200326	0	187.6900000	191.2000000	182.8000000	188.0700000	111338470	2020-03-26
SBER	D	20200327	0	188.0500000	188.9700000	180.1700000	180.3800000	114106500	2020-03-27
SBER	D	20200330	0	177.0300000	183.2000000	174.9000000	183.0000000	93995170	2020-03-30
SBER	D	20200331	0	186.0000000	188.7700000	184.2500000	187.2100000	113605840	2020-03-31
SBER	D	20200401	0	183.2000000	185.4700000	182.0000000	184.7800000	76453050	2020-04-01
SBER	D	20200402	0	188.3400000	189.9000000	182.0000000	186.9500000	125289380	2020-04-02
SBER	D	20200403	0	186.6000000	187.4900000	184.2800000	185.6400000	92726520	2020-04-03
SBER	D	20200406	0	187.5200000	192.0200000	186.4200000	190.7000000	77520920	2020-04-06
SBER	D	20200407	0	193.1000000	200.5400000	193.0600000	197.6300000	136262480	2020-04-07
SBER	D	20200408	0	196.2000000	200.2900000	195.1200000	200.2900000	89695510	2020-04-08
SBER	D	20200409	0	202.4000000	205.4400000	199.3000000	203.6100000	109748080	2020-04-09
SBER	D	20200410	0	201.8500000	202.7500000	200.7000000	201.9900000	28658630	2020-04-10
SBER	D	20200413	0	201.9900000	202.1600000	197.3200000	198.2600000	41196340	2020-04-13
SBER	D	20200414	0	199.9900000	202.8500000	196.1000000	197.3700000	80132500	2020-04-14
SBER	D	20200415	0	196.0000000	196.2500000	186.0600000	186.0700000	97979270	2020-04-15
SBER	D	20200416	0	187.2200000	191.6700000	183.5300000	188.5000000	109069050	2020-04-16
SBER	D	20200417	0	192.5000000	192.7000000	188.2800000	191.8000000	71522530	2020-04-17
SBER	D	20200420	0	190.6000000	192.2300000	187.3100000	189.3200000	62162030	2020-04-20
SBER	D	20200421	0	185.5400000	187.5000000	183.6500000	186.0500000	94053840	2020-04-21
SBER	D	20200422	0	185.0500000	191.9400000	184.5000000	190.2000000	75194080	2020-04-22
SBER	D	20200423	0	192.0000000	192.5000000	188.6800000	190.9400000	62581600	2020-04-23
SBER	D	20200424	0	189.7300000	191.6500000	187.7000000	188.9100000	55252250	2020-04-24
SBER	D	20200427	0	189.9500000	190.5000000	188.4300000	188.9000000	43627150	2020-04-27
SBER	D	20200428	0	188.5500000	194.2200000	188.1700000	192.8000000	78555750	2020-04-28
SBER	D	20200429	0	194.3600000	195.8000000	192.8600000	195.8000000	69766160	2020-04-29
SBER	D	20200430	0	196.5200000	199.7000000	195.4600000	197.2500000	87028430	2020-04-30
SBER	D	20200504	0	195.6800000	195.6800000	193.2600000	193.6900000	56239930	2020-05-04
